date,page
1945,8.0
1954,157.0
1955,228.0
1956,306.0
1957,534.0
1958,807.0
1959,1647.0
1960,1460.0
1961,1601.0
1962,2235.0
1963,1762.0
1964,1888.0
1965,2100.0
1966,2831.0
1967,4535.0
1968,5759.0
1969,5067.0
1970,5258.0
1971,9187.0
1972,8535.0
1973,5462.0
1974,13837.0
1975,18289.0
1976,18072.0
1977,22004.0
1978,22607.0
1979,23601.0
1980,28432.0
1981,31792.0
1982,38861.0
1983,46159.0
1984,49354.0
1985,57448.0
1986,79308.0
1987,80271.0
1988,94060.0
1989,109504.0
1990,119146.0
1991,149237.0
1992,159903.0
1993,190467.0
1994,197069.0
1995,212440.0
1996,216193.0
1997,242552.0
1998,258844.0
1999,264883.0
2000,297480.0
2001,297342.0
2002,197727.0
2003,127.0
