date,page
1959,465.0
1960,116.0
1961,199.0
1962,916.0
1963,149.0
1964,245.0
1965,322.0
1966,298.0
1967,329.0
1968,2082.0
1969,1247.0
1970,840.0
1971,3523.0
1972,2110.0
1973,3245.0
1974,5860.0
1975,7405.0
1976,6269.0
1977,8086.0
1978,8904.0
1979,9923.0
1980,12089.0
1981,12786.0
1982,17505.0
1983,20018.0
1984,25304.0
1985,28767.0
1986,38449.0
1987,47424.0
1988,58292.0
1989,63543.0
1990,66944.0
1991,87948.0
1992,96153.0
1993,115002.0
1994,116315.0
1995,121871.0
1996,114136.0
1997,130218.0
1998,148275.0
1999,154308.0
2000,175030.0
2001,166319.0
2002,128621.0
