year,number
1945,1
1949,1
1950,1
1953,1
1954,21
1955,22
1956,37
1957,61
1958,90
1959,221
1960,161
1961,114
1962,228
1963,128
1964,128
1965,159
1966,338
1967,484
1968,561
1969,574
1970,488
1971,981
1972,783
1973,1040
1974,1349
1975,1760
1976,1872
1977,2234
1978,2055
1979,2171
1980,2680
1981,2912
1982,3210
1983,3932
1984,4361
1985,5040
1986,6435
1987,6535
1988,7946
1989,9514
1990,10622
1991,12523
1992,13866
1993,17408
1994,18364
1995,19295
1996,19115
1997,21703
1998,23913
1999,26773
2000,28239
2001,27215
2002,19142
2003,6
